episod,total_reward
1,-248.80649610118581
2,-271.5278357216911
3,-271.9183347833449
4,-272.07499567046403
5,-268.35712624450315
6,-245.93305217868584
7,-357.9469143928597
8,-236.4666331249309
9,-232.66598675179782
10,-205.60610545941125
11,-228.5145985337505
12,-212.09108128739877
13,-152.07560225071268
14,-234.1803090644639
15,-263.2908000718413
16,-202.69141219495955
17,-227.16937757466525
18,-219.1088827757365
19,-204.141514065303
20,-213.3842971677699
21,-248.03484148193294
22,-228.66424391138446
23,-222.18189440144855
24,-213.42932846998144
25,-230.82097864818684
26,-249.41220579643488
27,-241.5621096913951
28,-264.8066237996775
29,-252.45826348849573
30,-244.89179399755113
31,-265.955451030353
32,-251.4552371660621
33,-251.19776782667387
34,-283.689101661249
35,-248.91960640205536
36,-323.0435925374796
37,-213.02269471257438
38,-231.16772522074893
39,-227.4438999791293
40,-285.0331778296952
41,-216.65994404729415
42,-213.4472476938003
43,-226.628193018951
44,-222.0120463822147
45,-224.84290456560018
46,-237.48470366209858
47,-236.2584464230084
48,-208.09094231483988
49,-232.11265592730757
50,-264.79232762997026
51,-223.79674471847906
52,-229.13448477669783
53,-248.22806364075205
54,-2574.48887562694
55,-259.93359354821973
56,-253.0941247614657
57,-261.5596748195157
58,-242.9583395652312
59,-251.12251309631563
60,-227.60316933554265
61,-234.38559452233238
62,-246.99343365463795
63,-257.1337808876501
64,-266.1010707714589
65,-251.65962063770303
66,-210.97170836584792
67,-210.97172357972633
68,-210.97168525408804
69,-210.9716292980536
70,-210.9716426083519
71,-210.97171795284876
72,-210.97168408949017
73,-210.97165306172587
74,-210.97161354016757
75,-210.97166440132722
76,-210.9716835902911
77,-210.97167283543797
78,-263.1059942010055
79,-265.93468106758314
80,-2575.325147697813
81,-2575.0649032404044
82,-2571.4675140898844
83,-2574.9981529022084
84,-1380.4827169820553
85,-2572.357732713661
86,-253.0050050395525
87,-227.56388087725597
88,-231.9854569988608
89,-246.2722416688282
90,-276.660311335646
91,-3047.418268083306
92,-3022.0508896996116
93,-3048.1614760997336
94,-3047.7983698794897
95,-3048.287306308137
96,-3048.366465245412
97,-3048.326852003525
98,-51.87686340838127
99,-3048.3067089981682
100,-444.2928002689287
101,19.59052563893311
102,-3047.9436160031087
103,-888.9291755495017
104,-161.91694548270664
105,-31.824888267650998
106,-21.006642035139812
107,-55.372584437650495
108,-159.7218049799886
109,46.62034042571838
110,-207.47799397593892
111,71.1785530255332
112,-2249.390456518104
113,-72.24574374056026
114,-539.4300066011906
115,-0.4250111208182048
116,-176.55814078625647
117,-80.43033325769326
118,-2490.3555274921523
119,16.918682885844184
120,-252.775928973706
121,-1062.177560942823
122,-255.47387857999254
123,49.95273776185297
124,66.43260337058035
125,-57.837295041512945
126,11.702622021905484
127,-118.47014446543207
128,-215.09021859779824
129,-3037.658244532233
130,-253.3626598958757
131,-249.39595796701497
132,-70.04512620274699
133,-15.47850745025034
134,-227.3833666125983
135,13.407713820249548
136,-107.67557308411295
137,-31.729945482327413
138,-78.55754214215528
139,-69.25770365096768
140,-198.0912768377762
141,-219.70508852099545
142,-47.570459326478435
143,-43.81049004382876
